ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
26898,Fall2012,Fall2016,BSIE,IE    ,3.117,    ,27,15,1,4,0,0,0,          ,          ,4,4,0,0,0,0,0,3.400,3.437,3.196,1,1,1,1,32,66,1
27005,Fall2012,Spring2016,BS,PSYCS ,3.116,3.28,20,27,0,7,1,0,0,73369,213500,1,5,0,1,1,0,1,2.785,2.806,2.833,1,0,0,0,28,57,0
27500,Fall2012,,,,,3.06,24,25,1,7,1,0,0,4494,54295,4,4,1,1,1,0,0,0.300,1.370,     ,0,1,1,0,20,20,0
28195,Fall2012,,,,,2.71,24,24,1,7,1,0,1,14942,72806,4,4,0,0,1,0,1,1.750,1.375,1.500,0,0,0,0,9,18,0
28238,Fall2012,Spring2016,BS,BCH   ,4.040,4.00,35,36,1,7,1,0,1,21061,222558,4,5,0,0,1,0,0,4.000,4.000,4.000,1,1,1,1,32,63,1
28913,Fall2012,,,,,3.83,32,30,1,7,1,0,0,36634,162808,5,4,0,1,1,0,1,2.562,2.965,2.796,0,1,1,1,29,58,0
29833,Fall2012,Fall2017,BSCE,CE    ,2.315,    ,23,23,1,3,0,0,1,8017,88622,2,6,0,1,1,0,0,3.000,2.727,2.537,1,1,1,1,27,60,1
31157,Fall2012,Summer2016,BSGEOL,GEOLP ,2.951,    ,25,33,1,2,1,0,1,45242,163146,4,4,0,0,1,0,0,3.250,2.944,2.964,1,1,1,1,28,48,1
31168,Fall2012,Fall2018,BS,BCH   ,3.474,3.96,26,26,0,7,1,0,1,78246,722999,5,5,0,0,1,0,1,3.933,3.962,3.562,1,1,1,1,27,58,1
31292,Fall2012,,,,,4.00,25,28,0,2,1,1,1,1011,33389,2,1,1,0,1,0,0,2.769,2.920,2.900,0,1,1,1,25,50,0
31344,Fall2012,Fall2016,BSCHE,CHE   ,3.787,3.57,31,29,0,7,1,0,1,18758,94045,4,4,0,0,1,0,1,3.812,3.806,3.901,1,1,1,1,32,62,1
